data,algorithm,split,source_row,y_true
feature selected,PyTorch_TabularMLP,Train,380,249.1342
feature selected,PyTorch_TabularMLP,Train,423,3.4215
feature selected,PyTorch_TabularMLP,Train,357,13.1703
feature selected,PyTorch_TabularMLP,Train,184,3.8774
feature selected,PyTorch_TabularMLP,Train,352,10.1342
feature selected,PyTorch_TabularMLP,Train,492,-0.0488
feature selected,PyTorch_TabularMLP,Train,152,8.0988
feature selected,PyTorch_TabularMLP,Train,73,2
feature selected,PyTorch_TabularMLP,Train,289,14.2
feature selected,PyTorch_TabularMLP,Train,16,187.171
feature selected,PyTorch_TabularMLP,Train,273,16.5508
feature selected,PyTorch_TabularMLP,Train,542,1.0405
feature selected,PyTorch_TabularMLP,Train,487,0.6573
feature selected,PyTorch_TabularMLP,Train,629,162.4434
feature selected,PyTorch_TabularMLP,Train,261,48
feature selected,PyTorch_TabularMLP,Train,122,14.0871
feature selected,PyTorch_TabularMLP,Train,335,0.1123
feature selected,PyTorch_TabularMLP,Train,417,2.7813
feature selected,PyTorch_TabularMLP,Train,578,199.8271
feature selected,PyTorch_TabularMLP,Train,587,207.3981
feature selected,PyTorch_TabularMLP,Train,414,2.5938
feature selected,PyTorch_TabularMLP,Train,251,34
feature selected,PyTorch_TabularMLP,Train,662,9.42
feature selected,PyTorch_TabularMLP,Train,235,0
feature selected,PyTorch_TabularMLP,Train,374,151.0303
feature selected,PyTorch_TabularMLP,Train,326,8.6
feature selected,PyTorch_TabularMLP,Train,281,30.1344
feature selected,PyTorch_TabularMLP,Train,620,4.0724
feature selected,PyTorch_TabularMLP,Train,90,20.1088
feature selected,PyTorch_TabularMLP,Train,419,0.2975
feature selected,PyTorch_TabularMLP,Train,453,2.7841
feature selected,PyTorch_TabularMLP,Train,592,3.7292
feature selected,PyTorch_TabularMLP,Train,479,0.0833
feature selected,PyTorch_TabularMLP,Train,562,19.9007
feature selected,PyTorch_TabularMLP,Train,618,33.9367
feature selected,PyTorch_TabularMLP,Train,133,7.7838
feature selected,PyTorch_TabularMLP,Train,483,0.4379
feature selected,PyTorch_TabularMLP,Train,391,261.2554
feature selected,PyTorch_TabularMLP,Train,18,180.7351
feature selected,PyTorch_TabularMLP,Train,396,160.5788
feature selected,PyTorch_TabularMLP,Train,355,10.9333
feature selected,PyTorch_TabularMLP,Train,636,202.2624
feature selected,PyTorch_TabularMLP,Train,547,3.3719
feature selected,PyTorch_TabularMLP,Train,204,10.8544
feature selected,PyTorch_TabularMLP,Train,468,1.1613
feature selected,PyTorch_TabularMLP,Train,561,19.9005
feature selected,PyTorch_TabularMLP,Train,183,56.7066
feature selected,PyTorch_TabularMLP,Train,159,90.713
feature selected,PyTorch_TabularMLP,Train,117,13.7027
feature selected,PyTorch_TabularMLP,Train,394,179.8701
feature selected,PyTorch_TabularMLP,Train,527,-0.1319
feature selected,PyTorch_TabularMLP,Train,371,7.3913
feature selected,PyTorch_TabularMLP,Train,333,8.2
feature selected,PyTorch_TabularMLP,Train,45,77.8966
feature selected,PyTorch_TabularMLP,Train,327,8.9
feature selected,PyTorch_TabularMLP,Train,536,1.1869
feature selected,PyTorch_TabularMLP,Train,671,5.4793
feature selected,PyTorch_TabularMLP,Train,623,4.9773
feature selected,PyTorch_TabularMLP,Train,221,16.661
feature selected,PyTorch_TabularMLP,Train,512,1.0682
feature selected,PyTorch_TabularMLP,Train,206,31.2926
feature selected,PyTorch_TabularMLP,Train,612,190.7779
feature selected,PyTorch_TabularMLP,Train,466,0.2074
feature selected,PyTorch_TabularMLP,Train,346,11.1176
feature selected,PyTorch_TabularMLP,Train,233,0
feature selected,PyTorch_TabularMLP,Train,532,0.9231
feature selected,PyTorch_TabularMLP,Train,370,10.8696
feature selected,PyTorch_TabularMLP,Train,475,2.6613
feature selected,PyTorch_TabularMLP,Train,87,17.4132
feature selected,PyTorch_TabularMLP,Train,534,1.088
feature selected,PyTorch_TabularMLP,Train,302,0
feature selected,PyTorch_TabularMLP,Train,665,9.5675
feature selected,PyTorch_TabularMLP,Train,314,80
feature selected,PyTorch_TabularMLP,Train,219,144.8177
feature selected,PyTorch_TabularMLP,Train,537,1.1935
feature selected,PyTorch_TabularMLP,Train,142,6.9943
feature selected,PyTorch_TabularMLP,Train,388,191.9913
feature selected,PyTorch_TabularMLP,Train,465,0.6823
feature selected,PyTorch_TabularMLP,Train,588,208.3905
feature selected,PyTorch_TabularMLP,Train,108,16.7484
feature selected,PyTorch_TabularMLP,Train,40,187.7603
feature selected,PyTorch_TabularMLP,Train,14,175.7096
feature selected,PyTorch_TabularMLP,Train,322,9.6
feature selected,PyTorch_TabularMLP,Train,438,0.7813
feature selected,PyTorch_TabularMLP,Train,622,4.5249
feature selected,PyTorch_TabularMLP,Train,440,0.8125
feature selected,PyTorch_TabularMLP,Train,384,246.5368
feature selected,PyTorch_TabularMLP,Train,185,19.2773
feature selected,PyTorch_TabularMLP,Train,192,60.0842
feature selected,PyTorch_TabularMLP,Train,105,13.9905
feature selected,PyTorch_TabularMLP,Train,223,60.2934
feature selected,PyTorch_TabularMLP,Train,581,202.7626
feature selected,PyTorch_TabularMLP,Train,30,178
feature selected,PyTorch_TabularMLP,Train,262,43
feature selected,PyTorch_TabularMLP,Train,116,12.2315
feature selected,PyTorch_TabularMLP,Train,550,18.5644
feature selected,PyTorch_TabularMLP,Train,401,222.5413
feature selected,PyTorch_TabularMLP,Train,34,143.7129
feature selected,PyTorch_TabularMLP,Train,269,14.1204
feature selected,PyTorch_TabularMLP,Train,257,62
feature selected,PyTorch_TabularMLP,Train,408,0.525
feature selected,PyTorch_TabularMLP,Train,43,35.8031
feature selected,PyTorch_TabularMLP,Train,517,0.4426
feature selected,PyTorch_TabularMLP,Train,247,11
feature selected,PyTorch_TabularMLP,Train,529,0.3956
feature selected,PyTorch_TabularMLP,Train,97,12.9034
feature selected,PyTorch_TabularMLP,Train,655,5.0188
feature selected,PyTorch_TabularMLP,Train,584,203.5592
feature selected,PyTorch_TabularMLP,Train,462,0.6512
feature selected,PyTorch_TabularMLP,Train,637,206.7873
feature selected,PyTorch_TabularMLP,Train,557,24.7571
feature selected,PyTorch_TabularMLP,Train,443,1.008
feature selected,PyTorch_TabularMLP,Train,640,5.4298
feature selected,PyTorch_TabularMLP,Train,301,99
feature selected,PyTorch_TabularMLP,Train,398,189.0305
feature selected,PyTorch_TabularMLP,Train,377,31.8134
feature selected,PyTorch_TabularMLP,Train,297,205
feature selected,PyTorch_TabularMLP,Train,230,0
feature selected,PyTorch_TabularMLP,Train,201,88.117
feature selected,PyTorch_TabularMLP,Train,454,-0.0311
feature selected,PyTorch_TabularMLP,Train,589,209.3641
feature selected,PyTorch_TabularMLP,Train,378,235.2814
feature selected,PyTorch_TabularMLP,Train,186,46.1627
feature selected,PyTorch_TabularMLP,Train,456,0.0318
feature selected,PyTorch_TabularMLP,Train,254,22
feature selected,PyTorch_TabularMLP,Train,498,0.7805
feature selected,PyTorch_TabularMLP,Train,614,28.5068
feature selected,PyTorch_TabularMLP,Train,564,19.9019
feature selected,PyTorch_TabularMLP,Train,386,265.5844
feature selected,PyTorch_TabularMLP,Train,459,0.3721
feature selected,PyTorch_TabularMLP,Train,295,225
feature selected,PyTorch_TabularMLP,Train,450,2.74
feature selected,PyTorch_TabularMLP,Train,339,0.1497
feature selected,PyTorch_TabularMLP,Train,23,185.6084
feature selected,PyTorch_TabularMLP,Train,345,10.3316
feature selected,PyTorch_TabularMLP,Train,342,3.5187
feature selected,PyTorch_TabularMLP,Train,102,14.3145
feature selected,PyTorch_TabularMLP,Train,658,13.7265
feature selected,PyTorch_TabularMLP,Train,266,9.2885
feature selected,PyTorch_TabularMLP,Train,202,105.5386
