Biomass,Heating rate (℃/min),Pyrolysis temperature (℃),Pyrolysis time（h）,Modification method,C (%),H (%),O (%),N (%),Specific surface area (m2/g）,Pore volume (cm3/g）,Average pore size (nm),pH,Adsorption time (h),Adsorbent dosage (g/l),Adsorption temperature (℃),Initial concentration (mg/l)
2.05365322,5.368066767952378,0.5300208765374128,3.4082301504539823,-14.09087411,-3.62017599,3.8215347455564816,2.0637353882383302,-3.897221976,-9.130507095,-11.83629944,-2.443127721,11.983524652719098,8.074223733840743,-4.151316113,-3.380633643,40.021987158717025
-4.574547843,-4.920533745,-0.739431715,2.243431581,-1.601333476,-0.214582977,-0.102816516,-1.000404121,1.3309820627852968,10.634148772358177,2.1188514775689073,0.29066996429304753,-2.309456739,1.177895553565038,-0.151737389,0.3321661778187102,-41.68799766
2.3912460073264756,3.2982354036412604,-1.826982146,2.4927452208892813,-21.83565332,-2.076932039,0.2686569184044466,-0.675922886,-20.28018132,-12.75884296,-8.373567558,-2.713964139,3.8526795721570832,6.693659599193481,-3.119393416,0.43678853621709957,1.1789262319211042
3.137036521944369,5.685526132638301,-0.290180274,3.862819314542434,-16.16712424,-3.139332932,4.400488183583106,2.6476138565941487,-4.679205754,-11.37643452,-13.96336418,-2.407261014,10.091285354812916,8.902939975545365,-3.427523743,-5.408774552,43.439265759146956
0.4494748726174744,-2.054473662,-0.53605815,-5.744186652,-10.81396166,0.6246114706517841,1.0543054574111155,-2.529200582,0.393157215,-9.481057502,-5.429146577,0.6259453524717814,-2.331668731,-0.856640635,-1.503738671,0.24876038596425304,-10.07741995
-1.332506931,2.4645969006807404,1.6463625529261956,-0.092900096,-12.14590374,1.441458408107835,-2.461358383,-1.538510736,-1.155913293,-0.409288537,2.1594344083555708,-0.202163547,-3.668472151,-9.367840558,-5.40307866,0.5379082307779721,-8.752220548
-0.131456582,-1.914902809,-9.841764351,-3.044831681,-5.665919323,-0.068716659,-6.85803129,-0.193505843,0.6163568896307201,-4.645803042,-5.349747126,0.8585092101161135,-1.92019649,1.0643943680035193,-0.200725481,0.15666386489110112,-4.046622133
0.4471007494302827,-2.494090192,-0.933065422,-4.12565995,-9.715511969,0.47877913624560325,1.0186296075266583,-3.025293361,0.9996226066335148,-7.832647739,-5.034474664,0.8008436903640764,-2.817718171,-4.751685254,0.047566550567518746,0.31313106692986303,-8.143730058
4.24414383,-2.195554223,10.315949458492698,2.3112548941117135,15.822311428318374,1.357867899443762,-4.238318138,5.206797161732957,2.135070642651862,14.63300952539144,6.277714537,5.203804575457693,4.5862506066571465,6.274682183792075,5.095446094436793,0.7598958990462749,19.96797498769727
2.5118040583666796,4.499317424449716,0.028956803379491892,4.114694462377732,-11.60674661,-1.658875237,2.5003885643963106,1.8471374545281263,-3.944875955,-9.018451617,-10.46417805,-0.579423453,7.421319579177213,7.837898832512448,-3.126396141,-11.41221179,30.060252577977156
1.9500551130225448,4.608806658846971,-0.264760853,2.3353178759590145,-10.52712601,-2.212157756,2.119114248874689,1.3934783148274905,-2.084117472,-6.273430512,-9.65919014,-2.922337631,8.951918182810493,-5.998568504,-4.656586291,0.7227560535090329,24.79291571
-9.649141278,2.671891109,-1.011909078,2.5306463637417567,-12.36213821,-0.887173055,0.8324693402112442,-0.754140717,-0.059706468,-3.708773328,-2.769757159,0.16066954873802083,-13.41547974,2.7771123275610488,-2.584513968,0.1184238980293745,-1.895735004
2.3589843214714588,4.232632483391408,-0.297725973,3.4913808169757754,-11.25164517,-2.620229338,2.788526792882555,1.4752642483652294,-3.510542801,-8.116356936,-10.34205631,-2.129523907,8.448576080528104,8.257432103626554,-3.155936188,-5.757579624,23.18379816529244
-0.040278604,-5.448161355,2.928581481494344,-0.670558789,-16.30864596,-0.829063499,-3.528343557,-1.729058388,1.7824744851712342,-3.698988932,-2.570806489,0.9733552743518229,2.2042042522895966,-8.776064464,1.7848230459627048,0.502128865,7.715006873771482
